object.1,object,comment,filter,seqtot,seqnum,seqid,expType,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J020437.64+310924.70_N540,XMM_J020437.64+310924.70_N540,--,N540,104,61,S2021B,object,LeathaudGreene,Merian,31.15686380377041,2020B-0288,0.8557772835558601,900.0,1,False
XMM_J020547.82+312657.33_N540,XMM_J020547.82+312657.33_N540,--,N540,104,62,S2021B,object,LeathaudGreene,Merian,31.44925838642213,2020B-0288,0.924195979171048,900.0,1,False
XMM_J020658.58+314438.81_N540,XMM_J020658.58+314438.81_N540,--,N540,104,63,S2021B,object,LeathaudGreene,Merian,31.74411491065637,2020B-0288,0.9638002171475296,900.0,1,False
XMM_J020809.35+320220.38_N540,XMM_J020809.35+320220.38_N540,--,N540,104,64,S2021B,object,LeathaudGreene,Merian,32.0389949753259,2020B-0288,1.0031084470623015,900.0,1,False
XMM_J020755.03+315845.52_N540,XMM_J020755.03+315845.52_N540,--,N540,104,65,S2021B,object,LeathaudGreene,Merian,31.979312112987266,2020B-0288,-0.7318039758974969,900.0,1,False
XMM_J020904.88+321613.33_N540,XMM_J020904.88+321613.33_N540,--,N540,104,66,S2021B,object,LeathaudGreene,Merian,32.270369664387566,2020B-0288,-0.6640780292111941,900.0,1,False
XMM_J021015.44+323351.69_N540,XMM_J021015.44+323351.69_N540,--,N540,104,67,S2021B,object,LeathaudGreene,Merian,32.56435902002334,2020B-0288,-0.6249225405861291,900.0,1,False
XMM_J021126.00+325130.09_N540,XMM_J021126.00+325130.09_N540,--,N540,104,68,S2021B,object,LeathaudGreene,Merian,32.85836041346789,2020B-0288,-0.5860685788145598,900.0,1,False
XMM_J021115.11+324846.69_N540,XMM_J021115.11+324846.69_N540,--,N540,104,69,S2021B,object,LeathaudGreene,Merian,32.81297195275174,2020B-0288,-2.328672879629924,900.0,1,False
XMM_J021224.63+330609.46_N540,XMM_J021224.63+330609.46_N540,--,N540,104,70,S2021B,object,LeathaudGreene,Merian,33.10262920684001,2020B-0288,-2.2616633232833503,900.0,1,False
XMM_J021334.97+332344.57_N540,XMM_J021334.97+332344.57_N540,--,N540,104,71,S2021B,object,LeathaudGreene,Merian,33.39571427660192,2020B-0288,-2.2229708666283563,900.0,1,False
XMM_J021445.31+334119.68_N540,XMM_J021445.31+334119.68_N540,--,N540,104,72,S2021B,object,LeathaudGreene,Merian,33.68880010141996,2020B-0288,-2.1845854357230308,900.0,1,False
XMM_J021439.79+333956.97_N540,XMM_J021439.79+333956.97_N540,--,N540,104,73,S2021B,object,LeathaudGreene,Merian,33.66582735766721,2020B-0288,-3.931912619037458,900.0,1,False
XMM_J021548.96+335714.47_N540,XMM_J021548.96+335714.47_N540,--,N540,104,74,S2021B,object,LeathaudGreene,Merian,33.95402002411822,2020B-0288,-3.865650588095921,900.0,1,False
XMM_J021659.07+341446.18_N540,XMM_J021659.07+341446.18_N540,--,N540,104,75,S2021B,object,LeathaudGreene,Merian,34.24616318828784,2020B-0288,-3.82744023984789,900.0,1,False
XMM_J021809.19+343217.86_N540,XMM_J021809.19+343217.86_N540,--,N540,104,76,S2021B,object,LeathaudGreene,Merian,34.53829606730629,2020B-0288,-3.7895424477253545,900.0,1,False
XMM_J021810.04+343230.68_N540,XMM_J021810.04+343230.68_N540,--,N540,104,77,S2021B,object,LeathaudGreene,Merian,34.54185659483561,2020B-0288,-5.538573727215611,900.0,1,False
XMM_J021918.84+344942.66_N540,XMM_J021918.84+344942.66_N540,--,N540,104,78,S2021B,object,LeathaudGreene,Merian,34.828518875579356,2020B-0288,-5.4730947789278055,900.0,1,False
XMM_J022028.72+350710.85_N540,XMM_J022028.72+350710.85_N540,--,N540,104,79,S2021B,object,LeathaudGreene,Merian,35.11968173641795,2020B-0288,-5.435388393323318,900.0,1,False
XMM_J022138.59+352438.96_N540,XMM_J022138.59+352438.96_N540,--,N540,104,80,S2021B,object,LeathaudGreene,Merian,35.41082353898739,2020B-0288,-5.398000145745852,900.0,1,False
XMM_J020115.11+301846.65_N540,XMM_J020115.11+301846.65_N540,--,N540,104,81,S2021B,object,LeathaudGreene,Merian,30.31296004419968,2020B-0288,-0.7077572307907016,900.0,1,False
XMM_J020224.97+303614.62_N540,XMM_J020224.97+303614.62_N540,--,N540,104,82,S2021B,object,LeathaudGreene,Merian,30.604062048974857,2020B-0288,-0.6386412574695935,900.0,1,False
XMM_J020335.53+305353.08_N540,XMM_J020335.53+305353.08_N540,--,N540,104,83,S2021B,object,LeathaudGreene,Merian,30.89807812699523,2020B-0288,-0.5985831337671489,900.0,1,False
XMM_J020446.10+311131.58_N540,XMM_J020446.10+311131.58_N540,--,N540,104,84,S2021B,object,LeathaudGreene,Merian,31.19210604939091,2020B-0288,-0.5588143091477958,900.0,1,False
XMM_J020436.33+310904.95_N540,XMM_J020436.33+310904.95_N540,--,N540,104,85,S2021B,object,LeathaudGreene,Merian,31.151376794732727,2020B-0288,-2.2963017718172267,900.0,1,False
XMM_J020545.87+312628.10_N540,XMM_J020545.87+312628.10_N540,--,N540,104,86,S2021B,object,LeathaudGreene,Merian,31.441140402238172,2020B-0288,-2.2278774003245103,900.0,1,False
XMM_J020656.22+314403.43_N540,XMM_J020656.22+314403.43_N540,--,N540,104,87,S2021B,object,LeathaudGreene,Merian,31.73428850861961,2020B-0288,-2.1882683010550084,900.0,1,False
XMM_J020806.58+320138.77_N540,XMM_J020806.58+320138.77_N540,--,N540,104,88,S2021B,object,LeathaudGreene,Merian,32.027437025658514,2020B-0288,-2.1489541993792933,900.0,1,False
XMM_J020801.67+320025.10_N540,XMM_J020801.67+320025.10_N540,--,N540,104,89,S2021B,object,LeathaudGreene,Merian,32.00697428049709,2020B-0288,-3.8921954932662386,900.0,1,False
XMM_J020910.88+321743.20_N540,XMM_J020910.88+321743.20_N540,--,N540,104,90,S2021B,object,LeathaudGreene,Merian,32.29533373024849,2020B-0288,-3.824491959102455,900.0,1,False
XMM_J021021.01+323515.27_N540,XMM_J021021.01+323515.27_N540,--,N540,104,91,S2021B,object,LeathaudGreene,Merian,32.58757525849228,2020B-0288,-3.785349764865338,900.0,1,False
XMM_J021131.15+325247.30_N540,XMM_J021131.15+325247.30_N540,--,N540,104,92,S2021B,object,LeathaudGreene,Merian,32.87980598696708,2020B-0288,-3.746508288744167,900.0,1,False
XMM_J021131.85+325257.80_N540,XMM_J021131.85+325257.80_N540,--,N540,104,93,S2021B,object,LeathaudGreene,Merian,32.882723619864414,2020B-0288,-5.493476730031299,900.0,1,False
XMM_J021240.70+331010.59_N540,XMM_J021240.70+331010.59_N540,--,N540,104,94,S2021B,object,LeathaudGreene,Merian,33.16961096320134,2020B-0288,-5.4265266036809,900.0,1,False
XMM_J021350.61+332739.26_N540,XMM_J021350.61+332739.26_N540,--,N540,104,95,S2021B,object,LeathaudGreene,Merian,33.460906074370996,2020B-0288,-5.387871285712026,900.0,1,False
XMM_J021500.52+334507.84_N540,XMM_J021500.52+334507.84_N540,--,N540,104,96,S2021B,object,LeathaudGreene,Merian,33.752179415445056,2020B-0288,-5.349522442190324,900.0,1,False
XMM_J020451.51+311252.78_N540,XMM_J020451.51+311252.78_N540,--,N540,104,97,S2021B,object,LeathaudGreene,Merian,31.21466271792368,2020B-0288,-5.4440037199034546,900.0,1,False
XMM_J020600.42+313006.41_N540,XMM_J020600.42+313006.41_N540,--,N540,104,98,S2021B,object,LeathaudGreene,Merian,31.50178066102481,2020B-0288,-5.375631084763973,900.0,1,False
XMM_J020710.37+314735.56_N540,XMM_J020710.37+314735.56_N540,--,N540,104,99,S2021B,object,LeathaudGreene,Merian,31.793211659432586,2020B-0288,-5.336054394576566,900.0,1,False
XMM_J020820.30+320504.63_N540,XMM_J020820.30+320504.63_N540,--,N540,104,100,S2021B,object,LeathaudGreene,Merian,32.0846201745894,2020B-0288,-5.296772190054739,900.0,1,False
XMM_J020121.16+302017.41_N540,XMM_J020121.16+302017.41_N540,--,N540,104,101,S2021B,object,LeathaudGreene,Merian,30.338171273584344,2020B-0288,-3.849101913294541,900.0,1,False
XMM_J020230.40+303736.12_N540,XMM_J020230.40+303736.12_N540,--,N540,104,102,S2021B,object,LeathaudGreene,Merian,30.626701036118668,2020B-0288,-3.78000548703413,900.0,1,False
XMM_J020340.57+305508.55_N540,XMM_J020340.57+305508.55_N540,--,N540,104,103,S2021B,object,LeathaudGreene,Merian,30.919043262875096,2020B-0288,-3.739958956448728,900.0,1,False
XMM_J020450.72+311240.94_N540,XMM_J020450.72+311240.94_N540,--,N540,104,104,S2021B,object,LeathaudGreene,Merian,31.211374157134493,2020B-0288,-3.7002009777981737,900.0,1,False
