,object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
12,GAMA_J144350.23-004518.74_N536,--,N536,512,13,S2021A,object,GAMA_J144350.23-004518.74_N708,Leauthaud,Merian,220.9593201659843,2020B-0288,-0.7552081406383655,900,1,False
13,GAMA_J144500.42-004852.15_N536,--,N536,512,14,S2021A,object,GAMA_J144500.42-004852.15_N708,Leauthaud,Merian,221.25177700726863,2020B-0288,-0.8144881051458142,900,1,False
14,GAMA_J144611.19-005053.62_N536,--,N536,512,15,S2021A,object,GAMA_J144611.19-005053.62_N708,Leauthaud,Merian,221.5466637466749,2020B-0288,-0.8482282959289049,900,1,False
15,GAMA_J144721.97-005253.77_N536,--,N536,512,16,S2021A,object,GAMA_J144721.97-005253.77_N708,Leauthaud,Merian,221.8415727874848,2020B-0288,-0.8816050196827646,900,1,False
16,GAMA_J143723.82-004623.97_N536,--,N536,512,17,S2021A,object,GAMA_J143723.82-004623.97_N708,Leauthaud,Merian,219.34927887046712,2020B-0288,-0.7733267327496112,900,1,False
17,GAMA_J143834.01-005003.24_N536,--,N536,512,18,S2021A,object,GAMA_J143834.01-005003.24_N708,Leauthaud,Merian,219.6417314392292,2020B-0288,-0.8342342925631145,900,1,False
18,GAMA_J143944.78-005208.43_N536,--,N536,512,19,S2021A,object,GAMA_J143944.78-005208.43_N708,Leauthaud,Merian,219.9366170756427,2020B-0288,-0.8690102009992243,900,1,False
19,GAMA_J144055.56-005412.35_N536,--,N536,512,20,S2021A,object,GAMA_J144055.56-005412.35_N708,Leauthaud,Merian,220.2315254021313,2020B-0288,-0.9034330408419876,900,1,False
20,GAMA_J143055.25-004727.35_N536,--,N536,512,21,S2021A,object,GAMA_J143055.25-004727.35_N708,Leauthaud,Merian,217.73022371949278,2020B-0288,-0.7909309137015527,900,1,False
21,GAMA_J143205.44-005112.33_N536,--,N536,512,22,S2021A,object,GAMA_J143205.44-005112.33_N708,Leauthaud,Merian,218.0226695954496,2020B-0288,-0.8534266831434509,900,1,False
22,GAMA_J143316.21-005321.17_N536,--,N536,512,23,S2021A,object,GAMA_J143316.21-005321.17_N708,Leauthaud,Merian,218.31755257630016,2020B-0288,-0.8892164183621415,900,1,False
23,GAMA_J143426.99-005528.78_N536,--,N536,512,24,S2021A,object,GAMA_J143426.99-005528.78_N708,Leauthaud,Merian,218.61245856581797,2020B-0288,-0.9246638237271604,900,1,False
24,GAMA_J142424.75-004828.74_N536,--,N536,512,25,S2021A,object,GAMA_J142424.75-004828.74_N708,Leauthaud,Merian,216.10315470929558,2020B-0288,-0.8079859259939991,900,1,False
25,GAMA_J142534.94-005219.29_N536,--,N536,512,26,S2021A,object,GAMA_J142534.94-005219.29_N708,Leauthaud,Merian,216.39559145993684,2020B-0288,-0.8720274940841285,900,1,False
26,GAMA_J142645.71-005431.70_N536,--,N536,512,27,S2021A,object,GAMA_J142645.71-005431.70_N708,Leauthaud,Merian,216.6904702183812,2020B-0288,-0.9088072856119916,900,1,False
27,GAMA_J142756.48-005642.92_N536,--,N536,512,28,S2021A,object,GAMA_J142756.48-005642.92_N708,Leauthaud,Merian,216.98537223163657,2020B-0288,-0.9452558154329618,900,1,False
