object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J022028.72-052607.39_N708,--,N708,104,79,S2021B,object,XMM_J022028.72-052607.39_N708,LeathaudGreene,Merian,35.11968173641795,2020B-0288,-5.435388393323319,600.0,1,False
XMM_J022138.59-052352.80_N708,--,N708,104,80,S2021B,object,XMM_J022138.59-052352.80_N708,LeathaudGreene,Merian,35.41082353898738,2020B-0288,-5.398000145745851,600.0,1,False
XMM_J020115.11-004227.92_N708,--,N708,104,81,S2021B,object,XMM_J020115.11-004227.92_N708,LeathaudGreene,Merian,30.31296004419968,2020B-0288,-0.7077572307907016,600.0,1,False
XMM_J020224.97-003819.10_N708,--,N708,104,82,S2021B,object,XMM_J020224.97-003819.10_N708,LeathaudGreene,Merian,30.60406204897486,2020B-0288,-0.6386412574695935,600.0,1,False
XMM_J020335.53-003554.89_N708,--,N708,104,83,S2021B,object,XMM_J020335.53-003554.89_N708,LeathaudGreene,Merian,30.89807812699523,2020B-0288,-0.5985831337671489,600.0,1,False
XMM_J020446.10-003331.73_N708,--,N708,104,84,S2021B,object,XMM_J020446.10-003331.73_N708,LeathaudGreene,Merian,31.192106049390915,2020B-0288,-0.5588143091477958,600.0,1,False
XMM_J020436.33-021746.68_N708,--,N708,104,85,S2021B,object,XMM_J020436.33-021746.68_N708,LeathaudGreene,Merian,31.151376794732723,2020B-0288,-2.2963017718172267,600.0,1,False
XMM_J020545.87-021340.35_N708,--,N708,104,86,S2021B,object,XMM_J020545.87-021340.35_N708,LeathaudGreene,Merian,31.44114040223817,2020B-0288,-2.2278774003245103,600.0,1,False
XMM_J020656.22-021117.76_N708,--,N708,104,87,S2021B,object,XMM_J020656.22-021117.76_N708,LeathaudGreene,Merian,31.734288508619606,2020B-0288,-2.188268301055008,600.0,1,False
XMM_J020806.58-020856.23_N708,--,N708,104,88,S2021B,object,XMM_J020806.58-020856.23_N708,LeathaudGreene,Merian,32.02743702565851,2020B-0288,-2.1489541993792933,600.0,1,False
XMM_J020801.67-035331.90_N708,--,N708,104,89,S2021B,object,XMM_J020801.67-035331.90_N708,LeathaudGreene,Merian,32.00697428049709,2020B-0288,-3.892195493266238,600.0,1,False
XMM_J020910.88-034928.17_N708,--,N708,104,90,S2021B,object,XMM_J020910.88-034928.17_N708,LeathaudGreene,Merian,32.29533373024849,2020B-0288,-3.824491959102455,600.0,1,False
XMM_J021021.01-034707.25_N708,--,N708,104,91,S2021B,object,XMM_J021021.01-034707.25_N708,LeathaudGreene,Merian,32.58757525849228,2020B-0288,-3.785349764865338,600.0,1,False
XMM_J021131.15-034447.42_N708,--,N708,104,92,S2021B,object,XMM_J021131.15-034447.42_N708,LeathaudGreene,Merian,32.87980598696708,2020B-0288,-3.746508288744167,600.0,1,False
XMM_J021131.85-052936.51_N708,--,N708,104,93,S2021B,object,XMM_J021131.85-052936.51_N708,LeathaudGreene,Merian,32.88272361986441,2020B-0288,-5.493476730031298,600.0,1,False
XMM_J021240.70-052535.49_N708,--,N708,104,94,S2021B,object,XMM_J021240.70-052535.49_N708,LeathaudGreene,Merian,33.16961096320134,2020B-0288,-5.4265266036809,600.0,1,False
XMM_J021350.61-052316.33_N708,--,N708,104,95,S2021B,object,XMM_J021350.61-052316.33_N708,LeathaudGreene,Merian,33.460906074370996,2020B-0288,-5.387871285712026,600.0,1,False
XMM_J021500.52-052058.28_N708,--,N708,104,96,S2021B,object,XMM_J021500.52-052058.28_N708,LeathaudGreene,Merian,33.752179415445056,2020B-0288,-5.349522442190324,600.0,1,False
XMM_J020451.51-052638.41_N708,--,N708,104,97,S2021B,object,XMM_J020451.51-052638.41_N708,LeathaudGreene,Merian,31.21466271792368,2020B-0288,-5.444003719903455,600.0,1,False
XMM_J020600.42-052232.27_N708,--,N708,104,98,S2021B,object,XMM_J020600.42-052232.27_N708,LeathaudGreene,Merian,31.50178066102481,2020B-0288,-5.375631084763973,600.0,1,False
XMM_J020710.37-052009.79_N708,--,N708,104,99,S2021B,object,XMM_J020710.37-052009.79_N708,LeathaudGreene,Merian,31.793211659432583,2020B-0288,-5.336054394576567,600.0,1,False
XMM_J020820.30-051748.37_N708,--,N708,104,100,S2021B,object,XMM_J020820.30-051748.37_N708,LeathaudGreene,Merian,32.0846201745894,2020B-0288,-5.296772190054738,600.0,1,False
XMM_J020121.16-035056.76_N708,--,N708,104,101,S2021B,object,XMM_J020121.16-035056.76_N708,LeathaudGreene,Merian,30.33817127358434,2020B-0288,-3.8491019132945414,600.0,1,False
XMM_J020230.40-034648.01_N708,--,N708,104,102,S2021B,object,XMM_J020230.40-034648.01_N708,LeathaudGreene,Merian,30.62670103611867,2020B-0288,-3.78000548703413,600.0,1,False
XMM_J020340.57-034423.85_N708,--,N708,104,103,S2021B,object,XMM_J020340.57-034423.85_N708,LeathaudGreene,Merian,30.919043262875096,2020B-0288,-3.739958956448728,600.0,1,False
XMM_J020450.72-034200.72_N708,--,N708,104,104,S2021B,object,XMM_J020450.72-034200.72_N708,LeathaudGreene,Merian,31.211374157134497,2020B-0288,-3.7002009777981737,600.0,1,False
