object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J115219.94-011057.49_N540,--,N540,512,84,S2021A,object,GAMA_J115219.94-011057.49_N708,Leauthaud,Merian,178.08309151474100,2020B-0288,-1.1826379992851500,900,1,FALSE
GAMA_J115232.18+031042.71_N540,--,N540,512,85,S2021A,object,GAMA_J115232.18+031042.71_N708,Leauthaud,Merian,178.134094413877,2020B-0288,3.178530799883000,900,1,FALSE
GAMA_J115342.14+030542.39_N540,--,N540,512,86,S2021A,object,GAMA_J115342.14+030542.39_N708,Leauthaud,Merian,178.42559283862000,2020B-0288,3.0951094267310000,900,1,FALSE
GAMA_J115452.72+030241.93_N540,--,N540,512,87,S2021A,object,GAMA_J115452.72+030241.93_N708,Leauthaud,Merian,178.71969927467400,2020B-0288,3.0449832626834200,900,1,FALSE
GAMA_J115603.30+025941.55_N540,--,N540,512,88,S2021A,object,GAMA_J115603.30+025941.55_N708,Leauthaud,Merian,179.0137774111600,2020B-0288,2.994875505225110,900,1,FALSE
GAMA_J114848.94+014728.28_N540,--,N540,512,89,S2021A,object,GAMA_J114848.94+014728.28_N708,Leauthaud,Merian,177.20395195290400,2020B-0288,1.7911912662010300,900,1,FALSE
GAMA_J114958.93+014227.84_N540,--,N540,512,90,S2021A,object,GAMA_J114958.93+014227.84_N708,Leauthaud,Merian,177.4955596744360,2020B-0288,1.7077354334381800,900,1,FALSE
GAMA_J115109.55+013927.15_N540,--,N540,512,91,S2021A,object,GAMA_J115109.55+013927.15_N708,Leauthaud,Merian,177.78979790400200,2020B-0288,1.6575436939194300,900,1,FALSE
GAMA_J115220.16+013626.50_N540,--,N540,512,92,S2021A,object,GAMA_J115220.16+013626.50_N708,Leauthaud,Merian,178.08401957716700,2020B-0288,1.6073620254624500,900,1,FALSE
GAMA_J114505.52+002356.81_N540,--,N540,512,93,S2021A,object,GAMA_J114505.52+002356.81_N708,Leauthaud,Merian,176.2730190974170,2020B-0288,0.3991153520216950,900,1,FALSE
GAMA_J114615.52+001856.32_N540,--,N540,512,94,S2021A,object,GAMA_J114615.52+001856.32_N708,Leauthaud,Merian,176.56467041178000,2020B-0288,0.31564704959078000,900,1,FALSE
GAMA_J114726.16+001555.45_N540,--,N540,512,95,S2021A,object,GAMA_J114726.16+001555.45_N708,Leauthaud,Merian,176.8590010792920,2020B-0288,0.2654029140088840,900,1,FALSE
GAMA_J114836.79+001254.57_N540,--,N540,512,96,S2021A,object,GAMA_J114836.79+001254.57_N708,Leauthaud,Merian,177.15332697788000,2020B-0288,0.21516049724146900,900,1,FALSE
GAMA_J114122.15-005948.11_N540,--,N540,512,97,S2021A,object,GAMA_J114122.15-005948.11_N708,Leauthaud,Merian,175.34229372925000,2020B-0288,-0.9966982666977070,900,1,FALSE
GAMA_J114232.14-010448.56_N540,--,N540,512,98,S2021A,object,GAMA_J114232.14-010448.56_N708,Leauthaud,Merian,175.6339226463960,2020B-0288,-1.080157009179370,900,1,FALSE
GAMA_J114342.79-010749.58_N540,--,N540,512,99,S2021A,object,GAMA_J114342.79-010749.58_N708,Leauthaud,Merian,175.9283061969920,2020B-0288,-1.1304402753562300,900,1,FALSE
GAMA_J114453.44-011050.62_N540,--,N540,512,100,S2021A,object,GAMA_J114453.44-011050.62_N708,Leauthaud,Merian,176.22269680282700,2020B-0288,-1.1807301788633400,900,1,FALSE
GAMA_J114504.84+031142.43_N540,--,N540,512,101,S2021A,object,GAMA_J114504.84+031142.43_N708,Leauthaud,Merian,176.27020237508300,2020B-0288,3.1951203560724500,900,1,FALSE
GAMA_J114614.84+030641.94_N540,--,N540,512,102,S2021A,object,GAMA_J114614.84+030641.94_N708,Leauthaud,Merian,176.5618495466170,2020B-0288,3.111652049342890,900,1,FALSE
GAMA_J114725.45+030341.06_N540,--,N540,512,103,S2021A,object,GAMA_J114725.45+030341.06_N708,Leauthaud,Merian,176.856042730593,2020B-0288,3.0614077717493500,900,1,FALSE
GAMA_J114836.04+030040.19_N540,--,N540,512,104,S2021A,object,GAMA_J114836.04+030040.19_N708,Leauthaud,Merian,177.15020602077100,2020B-0288,3.0111651783003400,900,1,FALSE
GAMA_J114122.38+014819.09_N540,--,N540,512,105,S2021A,object,GAMA_J114122.38+014819.09_N708,Leauthaud,Merian,175.3432671699980,2020B-0288,1.8053031689680900,900,1,FALSE
GAMA_J114232.38+014318.63_N540,--,N540,512,106,S2021A,object,GAMA_J114232.38+014318.63_N708,Leauthaud,Merian,175.63495798998800,2020B-0288,1.7218444042990300,900,1,FALSE
GAMA_J114343.01+014017.62_N540,--,N540,512,107,S2021A,object,GAMA_J114343.01+014017.62_N708,Leauthaud,Merian,175.92924365535700,2020B-0288,1.6715611725717600,900,1,FALSE
GAMA_J114453.64+013716.57_N540,--,N540,512,108,S2021A,object,GAMA_J114453.64+013716.57_N708,Leauthaud,Merian,176.22351120931600,2020B-0288,1.6212713075224300,900,1,FALSE
GAMA_J113739.96+002435.08_N540,--,N540,512,109,S2021A,object,GAMA_J113739.96+002435.08_N708,Leauthaud,Merian,174.41654121517800,2020B-0288,0.4097455388053540,900,1,FALSE
GAMA_J113849.97+001934.74_N540,--,N540,512,110,S2021A,object,GAMA_J113849.97+001934.74_N708,Leauthaud,Merian,174.70820988240600,2020B-0288,0.32631815029784800,900,1,FALSE
GAMA_J114000.61+001633.63_N540,--,N540,512,111,S2021A,object,GAMA_J114000.61+001633.63_N708,Leauthaud,Merian,175.00254859029500,2020B-0288,0.27600912479081600,900,1,FALSE
GAMA_J114111.25+001332.46_N540,--,N540,512,112,S2021A,object,GAMA_J114111.25+001332.46_N708,Leauthaud,Merian,175.2968810081360,2020B-0288,0.22568514737732200,900,1,FALSE
GAMA_J113357.12-005936.77_N540,--,N540,512,113,S2021A,object,GAMA_J113357.12-005936.77_N708,Leauthaud,Merian,173.48801671060200,2020B-0288,-0.9935494552367880,900,1,FALSE
GAMA_J113507.10-010436.92_N540,--,N540,512,114,S2021A,object,GAMA_J113507.10-010436.92_N708,Leauthaud,Merian,173.7795969104950,2020B-0288,-1.0769235151946300,900,1,FALSE
GAMA_J113617.74-010738.08_N540,--,N540,512,115,S2021A,object,GAMA_J113617.74-010738.08_N708,Leauthaud,Merian,174.07394902749400,2020B-0288,-1.127245185736060,900,1,FALSE
GAMA_J113728.39-011039.32_N540,--,N540,512,116,S2021A,object,GAMA_J113728.39-011039.32_N708,Leauthaud,Merian,174.36830673173700,2020B-0288,-1.1775901420557000,900,1,FALSE
GAMA_J113016.09+002524.25_N540,--,N540,512,117,S2021A,object,GAMA_J113016.09+002524.25_N708,Leauthaud,Merian,172.56707594263700,2020B-0288,0.4234049337869810,900,1,FALSE
GAMA_J113126.10+002024.37_N540,--,N540,512,118,S2021A,object,GAMA_J113126.10+002024.37_N708,Leauthaud,Merian,172.8587631671080,2020B-0288,0.34010538828492600,900,1,FALSE
GAMA_J113236.74+001723.22_N540,--,N540,512,119,S2021A,object,GAMA_J113236.74+001723.22_N708,Leauthaud,Merian,173.15311051759100,2020B-0288,0.2897842310052830,900,1,FALSE
GAMA_J113347.38+001421.95_N540,--,N540,512,120,S2021A,object,GAMA_J113347.38+001421.95_N708,Leauthaud,Merian,173.44745003132900,2020B-0288,0.2394315292579570,900,1,FALSE
GAMA_J112634.25-005921.77_N540,--,N540,512,121,S2021A,object,GAMA_J112634.25-005921.77_N708,Leauthaud,Merian,171.64274512268000,2020B-0288,-0.9893831640188590,900,1,FALSE
GAMA_J112744.22-010421.31_N540,--,N540,512,122,S2021A,object,GAMA_J112744.22-010421.31_N708,Leauthaud,Merian,171.93427733970900,2020B-0288,-1.0725862686697000,900,1,FALSE
GAMA_J112854.86-010722.41_N540,--,N540,512,123,S2021A,object,GAMA_J112854.86-010722.41_N708,Leauthaud,Merian,172.22859837468400,2020B-0288,-1.122893835470560,900,1,FALSE
GAMA_J113005.50-011023.66_N540,--,N540,512,124,S2021A,object,GAMA_J113005.50-011023.66_N708,Leauthaud,Merian,172.5229235128090,2020B-0288,-1.1732412296410600,900,1,FALSE
GAMA_J112254.63+002624.25_N540,--,N540,512,125,S2021A,object,GAMA_J112254.63+002624.25_N708,Leauthaud,Merian,170.72762596676500,2020B-0288,0.4400695205365670,900,1,FALSE
GAMA_J112404.64+002125.13_N540,--,N540,512,126,S2021A,object,GAMA_J112404.64+002125.13_N708,Leauthaud,Merian,171.0193333236270,2020B-0288,0.3569832078763160,900,1,FALSE
GAMA_J112515.28+001824.12_N540,--,N540,512,127,S2021A,object,GAMA_J112515.28+001824.12_N708,Leauthaud,Merian,171.31369015662200,2020B-0288,0.30670198571247400,900,1,FALSE
GAMA_J112625.92+001522.94_N540,--,N540,512,128,S2021A,object,GAMA_J112625.92+001522.94_N708,Leauthaud,Merian,171.6080375895790,2020B-0288,0.2563727484918340,900,1,FALSE
GAMA_J111914.03-005903.20_N540,--,N540,512,129,S2021A,object,GAMA_J111914.03-005903.20_N708,Leauthaud,Merian,169.80848030953800,2020B-0288,-0.9842249359808430,900,1,FALSE
GAMA_J112023.99-010401.82_N540,--,N540,512,130,S2021A,object,GAMA_J112023.99-010401.82_N708,Leauthaud,Merian,170.0999655192350,2020B-0288,-1.0671725796362300,900,1,FALSE
GAMA_J112134.62-010702.69_N540,--,N540,512,131,S2021A,object,GAMA_J112134.62-010702.69_N708,Leauthaud,Merian,170.3942559819730,2020B-0288,-1.1174144130710300,900,1,FALSE
GAMA_J112245.25-011003.76_N540,--,N540,512,132,S2021A,object,GAMA_J112245.25-011003.76_N708,Leauthaud,Merian,170.6885490557610,2020B-0288,-1.1677124741123300,900,1,FALSE
GAMA_J111535.80+002731.37_N540,--,N540,512,133,S2021A,object,GAMA_J111535.80+002731.37_N708,Leauthaud,Merian,168.89919103071800,2020B-0288,0.4587144922485170,900,1,FALSE
GAMA_J111645.82+002233.33_N540,--,N540,512,134,S2021A,object,GAMA_J111645.82+002233.33_N708,Leauthaud,Merian,169.1909202837810,2020B-0288,0.3759249967564050,900,1,FALSE
GAMA_J111756.46+001932.64_N540,--,N540,512,135,S2021A,object,GAMA_J111756.46+001932.64_N708,Leauthaud,Merian,169.48528761360000,2020B-0288,0.32573482485749600,900,1,FALSE
GAMA_J111907.11+001631.72_N540,--,N540,512,136,S2021A,object,GAMA_J111907.11+001631.72_N708,Leauthaud,Merian,169.779643979806,2020B-0288,0.2754803144252820,900,1,FALSE
GAMA_J111156.69-005841.16_N540,--,N540,512,137,S2021A,object,GAMA_J111156.69-005841.16_N708,Leauthaud,Merian,167.98622339329000,2020B-0288,-0.978101883300309,900,1,FALSE
GAMA_J111306.63-010338.56_N540,--,N540,512,138,S2021A,object,GAMA_J111306.63-010338.56_N708,Leauthaud,Merian,168.2776627746450,2020B-0288,-1.0607115632220400,900,1,FALSE
GAMA_J111417.26-010639.01_N540,--,N540,512,139,S2021A,object,GAMA_J111417.26-010639.01_N708,Leauthaud,Merian,168.57192330959000,2020B-0288,-1.1108371063616300,900,1,FALSE
