,comment,filter,seqtot,seqnum,expType,object,proposer,program,RA,propid,dec,expTime
110,--,N708,168,111,science,G09,LeathaudGreene,Merian,142.84488051693373,2020B-XXXX,2.7073219836129963,600.0
111,--,N708,168,112,science,G09,LeathaudGreene,Merian,143.14054646736244,2020B-XXXX,2.665358224534895,600.0
112,--,N708,168,113,science,G09,LeathaudGreene,Merian,145.53798213496796,2020B-XXXX,-0.4122540937027074,600.0
113,--,N708,168,114,science,G09,LeathaudGreene,Merian,145.82932022907724,2020B-XXXX,-0.4826090743634388,600.0
114,--,N708,168,115,science,G09,LeathaudGreene,Merian,146.1234802610442,2020B-XXXX,-0.5257981411692114,600.0
115,--,N708,168,116,science,G09,LeathaudGreene,Merian,146.4176224194466,2020B-XXXX,-0.5692596157634843,600.0
116,--,N708,168,117,science,G09,LeathaudGreene,Merian,144.7190229327508,2020B-XXXX,1.1888521343103233,600.0
117,--,N708,168,118,science,G09,LeathaudGreene,Merian,145.0116302213025,2020B-XXXX,1.1191424995464843,600.0
118,--,N708,168,119,science,G09,LeathaudGreene,Merian,145.30651184649489,2020B-XXXX,1.07631995041285,600.0
119,--,N708,168,120,science,G09,LeathaudGreene,Merian,145.60136317028173,2020B-XXXX,1.0332184866763874,600.0
120,--,N708,168,121,science,G09,LeathaudGreene,Merian,143.88543239830818,2020B-XXXX,2.795118771004698,600.0
121,--,N708,168,122,science,G09,LeathaudGreene,Merian,144.17937089626182,2020B-XXXX,2.7260805979491005,600.0
122,--,N708,168,123,science,G09,LeathaudGreene,Merian,144.47501189840898,2020B-XXXX,2.6836400389205113,600.0
123,--,N708,168,124,science,G09,LeathaudGreene,Merian,144.7706102957136,2020B-XXXX,2.640913973690798,600.0
124,--,N708,168,125,science,G09,LeathaudGreene,Merian,147.18600637342558,2020B-XXXX,-0.4202202698098995,600.0
125,--,N708,168,126,science,G09,LeathaudGreene,Merian,147.4773540165608,2020B-XXXX,-0.4918312301427497,600.0
126,--,N708,168,127,science,G09,LeathaudGreene,Merian,147.77152103697915,2020B-XXXX,-0.5357325304755571,600.0
127,--,N708,168,128,science,G09,LeathaudGreene,Merian,148.0656709864628,2020B-XXXX,-0.5798935979359067,600.0
128,--,N708,168,129,science,G09,LeathaudGreene,Merian,146.36167720096037,2020B-XXXX,1.1727398716645858,600.0
129,--,N708,168,130,science,G09,LeathaudGreene,Merian,146.65423108618918,2020B-XXXX,1.1017493398034728,600.0
130,--,N708,168,131,science,G09,LeathaudGreene,Merian,146.94908130946058,2020B-XXXX,1.0581991177239014,600.0
131,--,N708,168,132,science,G09,LeathaudGreene,Merian,147.24390184691234,2020B-XXXX,1.014382501212711,600.0
132,--,N708,168,133,science,G09,LeathaudGreene,Merian,145.52473118662093,2020B-XXXX,2.7728502477107315,600.0
133,--,N708,168,134,science,G09,LeathaudGreene,Merian,145.8185556109052,2020B-XXXX,2.7025046331678446,600.0
134,--,N708,168,135,science,G09,LeathaudGreene,Merian,146.11412810720947,2020B-XXXX,2.659320023614658,600.0
135,--,N708,168,136,science,G09,LeathaudGreene,Merian,146.40965840344762,2020B-XXXX,2.615862319827819,600.0
136,--,N708,168,137,science,G09,LeathaudGreene,Merian,148.8460341114784,2020B-XXXX,-0.427893002665283,600.0
137,--,N708,168,138,science,G09,LeathaudGreene,Merian,149.13739255163338,2020B-XXXX,-0.5007091972395938,600.0
138,--,N708,168,139,science,G09,LeathaudGreene,Merian,149.4315673906028,2020B-XXXX,-0.5452912009761494,600.0
139,--,N708,168,140,science,G09,LeathaudGreene,Merian,149.72572602421735,2020B-XXXX,-0.5901200218516943,600.0
140,--,N708,168,141,science,G09,LeathaudGreene,Merian,148.0163249218209,2020B-XXXX,1.1559143385375,600.0
141,--,N708,168,142,science,G09,LeathaudGreene,Merian,148.30882508622256,2020B-XXXX,1.0836925454305584,600.0
