,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
86,--,N70,512,87,S2021A,object,GAMA,LeathaudGreene,Merian,178.71969927467435,2020B-0288,3.0449832626834206,600.0,1
87,--,N70,512,88,S2021A,object,GAMA,LeathaudGreene,Merian,179.01377741116042,2020B-0288,2.994875505225111,600.0,1
88,--,N70,512,89,S2021A,object,GAMA,LeathaudGreene,Merian,177.20395195290433,2020B-0288,1.7911912662010332,600.0,1
89,--,N70,512,90,S2021A,object,GAMA,LeathaudGreene,Merian,177.49555967443567,2020B-0288,1.7077354334381833,600.0,1
90,--,N70,512,91,S2021A,object,GAMA,LeathaudGreene,Merian,177.78979790400152,2020B-0288,1.6575436939194348,600.0,1
91,--,N70,512,92,S2021A,object,GAMA,LeathaudGreene,Merian,178.08401957716703,2020B-0288,1.6073620254624543,600.0,1
92,--,N70,512,93,S2021A,object,GAMA,LeathaudGreene,Merian,176.27301909741666,2020B-0288,0.3991153520216946,600.0,1
93,--,N70,512,94,S2021A,object,GAMA,LeathaudGreene,Merian,176.56467041177982,2020B-0288,0.31564704959077955,600.0,1
94,--,N70,512,95,S2021A,object,GAMA,LeathaudGreene,Merian,176.85900107929163,2020B-0288,0.2654029140088838,600.0,1
95,--,N70,512,96,S2021A,object,GAMA,LeathaudGreene,Merian,177.15332697788025,2020B-0288,0.21516049724146874,600.0,1
96,--,N70,512,97,S2021A,object,GAMA,LeathaudGreene,Merian,175.3422937292502,2020B-0288,-0.9966982666977066,600.0,1
97,--,N70,512,98,S2021A,object,GAMA,LeathaudGreene,Merian,175.6339226463956,2020B-0288,-1.080157009179365,600.0,1
98,--,N70,512,99,S2021A,object,GAMA,LeathaudGreene,Merian,175.9283061969915,2020B-0288,-1.1304402753562346,600.0,1
99,--,N70,512,100,S2021A,object,GAMA,LeathaudGreene,Merian,176.22269680282716,2020B-0288,-1.1807301788633437,600.0,1
100,--,N70,512,101,S2021A,object,GAMA,LeathaudGreene,Merian,176.27020237508285,2020B-0288,3.1951203560724504,600.0,1
101,--,N70,512,102,S2021A,object,GAMA,LeathaudGreene,Merian,176.5618495466172,2020B-0288,3.111652049342886,600.0,1
102,--,N70,512,103,S2021A,object,GAMA,LeathaudGreene,Merian,176.856042730593,2020B-0288,3.0614077717493453,600.0,1
103,--,N70,512,104,S2021A,object,GAMA,LeathaudGreene,Merian,177.15020602077144,2020B-0288,3.011165178300338,600.0,1
104,--,N70,512,105,S2021A,object,GAMA,LeathaudGreene,Merian,175.3432671699983,2020B-0288,1.8053031689680905,600.0,1
105,--,N70,512,106,S2021A,object,GAMA,LeathaudGreene,Merian,175.6349579899877,2020B-0288,1.7218444042990313,600.0,1
106,--,N70,512,107,S2021A,object,GAMA,LeathaudGreene,Merian,175.92924365535657,2020B-0288,1.6715611725717625,600.0,1
107,--,N70,512,108,S2021A,object,GAMA,LeathaudGreene,Merian,176.22351120931626,2020B-0288,1.6212713075224296,600.0,1
108,--,N70,512,109,S2021A,object,GAMA,LeathaudGreene,Merian,174.41654121517752,2020B-0288,0.40974553880535425,600.0,1
109,--,N70,512,110,S2021A,object,GAMA,LeathaudGreene,Merian,174.70820988240578,2020B-0288,0.32631815029784794,600.0,1
110,--,N70,512,111,S2021A,object,GAMA,LeathaudGreene,Merian,175.00254859029516,2020B-0288,0.27600912479081635,600.0,1
111,--,N70,512,112,S2021A,object,GAMA,LeathaudGreene,Merian,175.29688100813607,2020B-0288,0.22568514737732223,600.0,1
112,--,N70,512,113,S2021A,object,GAMA,LeathaudGreene,Merian,173.4880167106016,2020B-0288,-0.9935494552367877,600.0,1
113,--,N70,512,114,S2021A,object,GAMA,LeathaudGreene,Merian,173.7795969104945,2020B-0288,-1.0769235151946273,600.0,1
114,--,N70,512,115,S2021A,object,GAMA,LeathaudGreene,Merian,174.07394902749377,2020B-0288,-1.127245185736059,600.0,1
115,--,N70,512,116,S2021A,object,GAMA,LeathaudGreene,Merian,174.36830673173688,2020B-0288,-1.1775901420556971,600.0,1
116,--,N70,512,117,S2021A,object,GAMA,LeathaudGreene,Merian,172.56707594263716,2020B-0288,0.4234049337869805,600.0,1
117,--,N70,512,118,S2021A,object,GAMA,LeathaudGreene,Merian,172.8587631671079,2020B-0288,0.34010538828492626,600.0,1
118,--,N70,512,119,S2021A,object,GAMA,LeathaudGreene,Merian,173.15311051759116,2020B-0288,0.2897842310052831,600.0,1
119,--,N70,512,120,S2021A,object,GAMA,LeathaudGreene,Merian,173.44745003132948,2020B-0288,0.2394315292579568,600.0,1
120,--,N70,512,121,S2021A,object,GAMA,LeathaudGreene,Merian,171.64274512267951,2020B-0288,-0.9893831640188592,600.0,1
121,--,N70,512,122,S2021A,object,GAMA,LeathaudGreene,Merian,171.93427733970947,2020B-0288,-1.0725862686696988,600.0,1
122,--,N70,512,123,S2021A,object,GAMA,LeathaudGreene,Merian,172.2285983746843,2020B-0288,-1.1228938354705573,600.0,1
123,--,N70,512,124,S2021A,object,GAMA,LeathaudGreene,Merian,172.5229235128094,2020B-0288,-1.1732412296410593,600.0,1
124,--,N70,512,125,S2021A,object,GAMA,LeathaudGreene,Merian,170.7276259667653,2020B-0288,0.4400695205365673,600.0,1
125,--,N70,512,126,S2021A,object,GAMA,LeathaudGreene,Merian,171.0193333236266,2020B-0288,0.3569832078763161,600.0,1
126,--,N70,512,127,S2021A,object,GAMA,LeathaudGreene,Merian,171.31369015662244,2020B-0288,0.30670198571247403,600.0,1
127,--,N70,512,128,S2021A,object,GAMA,LeathaudGreene,Merian,171.6080375895789,2020B-0288,0.2563727484918341,600.0,1
128,--,N70,512,129,S2021A,object,GAMA,LeathaudGreene,Merian,169.80848030953834,2020B-0288,-0.9842249359808428,600.0,1
129,--,N70,512,130,S2021A,object,GAMA,LeathaudGreene,Merian,170.0999655192351,2020B-0288,-1.0671725796362286,600.0,1
130,--,N70,512,131,S2021A,object,GAMA,LeathaudGreene,Merian,170.39425598197263,2020B-0288,-1.11741441307103,600.0,1
131,--,N70,512,132,S2021A,object,GAMA,LeathaudGreene,Merian,170.68854905576092,2020B-0288,-1.1677124741123324,600.0,1
132,--,N70,512,133,S2021A,object,GAMA,LeathaudGreene,Merian,168.89919103071753,2020B-0288,0.4587144922485168,600.0,1
133,--,N70,512,134,S2021A,object,GAMA,LeathaudGreene,Merian,169.1909202837806,2020B-0288,0.3759249967564052,600.0,1
134,--,N70,512,135,S2021A,object,GAMA,LeathaudGreene,Merian,169.48528761360038,2020B-0288,0.32573482485749605,600.0,1
135,--,N70,512,136,S2021A,object,GAMA,LeathaudGreene,Merian,169.779643979806,2020B-0288,0.2754803144252822,600.0,1
136,--,N70,512,137,S2021A,object,GAMA,LeathaudGreene,Merian,167.98622339328952,2020B-0288,-0.978101883300309,600.0,1
137,--,N70,512,138,S2021A,object,GAMA,LeathaudGreene,Merian,168.2776627746453,2020B-0288,-1.0607115632220356,600.0,1
138,--,N70,512,139,S2021A,object,GAMA,LeathaudGreene,Merian,168.57192330959003,2020B-0288,-1.1108371063616318,600.0,1
139,--,N70,512,140,S2021A,object,GAMA,LeathaudGreene,Merian,168.86618496267144,2020B-0288,-1.1610351112337165,600.0,1
140,--,N70,512,141,S2021A,object,GAMA,LeathaudGreene,Merian,167.08477577918018,2020B-0288,0.4803042888490965,600.0,1
141,--,N70,512,142,S2021A,object,GAMA,LeathaudGreene,Merian,167.37652911902194,2020B-0288,0.39789267190626654,600.0,1
142,--,N70,512,143,S2021A,object,GAMA,LeathaudGreene,Merian,167.6709081843525,2020B-0288,0.34784337315549435,600.0,1
143,--,N70,512,144,S2021A,object,GAMA,LeathaudGreene,Merian,167.96527472212563,2020B-0288,0.2977136016580255,600.0,1
144,--,N70,512,145,S2021A,object,GAMA,LeathaudGreene,Merian,165.2843699849116,2020B-0288,0.501809609668813,600.0,1
145,--,N70,512,146,S2021A,object,GAMA,LeathaudGreene,Merian,165.57614911993994,2020B-0288,0.4198546368029435,600.0,1
146,--,N70,512,147,S2021A,object,GAMA,LeathaudGreene,Merian,165.87054102383055,2020B-0288,0.3699947290841167,600.0,1
147,--,N70,512,148,S2021A,object,GAMA,LeathaudGreene,Merian,166.1649188686546,2020B-0288,0.32003841798826393,600.0,1
148,--,N70,512,149,S2021A,object,GAMA,LeathaudGreene,Merian,163.49898146103573,2020B-0288,0.5251956973961649,600.0,1
149,--,N70,512,150,S2021A,object,GAMA,LeathaudGreene,Merian,163.79078865458493,2020B-0288,0.44377346611203006,600.0,1
150,--,N70,512,151,S2021A,object,GAMA,LeathaudGreene,Merian,164.08519475116523,2020B-0288,0.3941499817952413,600.0,1
151,--,N70,512,152,S2021A,object,GAMA,LeathaudGreene,Merian,164.37958527847843,2020B-0288,0.34441438947056807,600.0,1
152,--,N70,512,153,S2021A,object,GAMA,LeathaudGreene,Merian,159.09494684351102,2020B-0288,2.090873626277181,600.0,1
153,--,N70,512,154,S2021A,object,GAMA,LeathaudGreene,Merian,159.38747845675616,2020B-0288,2.011102120568355,600.0,1
154,--,N70,512,155,S2021A,object,GAMA,LeathaudGreene,Merian,159.6822447599365,2020B-0288,1.9622670585922135,600.0,1
155,--,N70,512,156,S2021A,object,GAMA,LeathaudGreene,Merian,159.9769789377535,2020B-0288,1.9132815859380616,600.0,1
156,--,N70,512,157,S2021A,object,GAMA,LeathaudGreene,Merian,161.7286005294467,2020B-0288,0.548430856814389,600.0,1
157,--,N70,512,158,S2021A,object,GAMA,LeathaudGreene,Merian,162.02043749600298,2020B-0288,0.4676149497717837,600.0,1
158,--,N70,512,159,S2021A,object,GAMA,LeathaudGreene,Merian,162.3148589138408,2020B-0288,0.418273474763351,600.0,1
159,--,N70,512,160,S2021A,object,GAMA,LeathaudGreene,Merian,162.60926329654737,2020B-0288,0.36880442565691135,600.0,1
160,--,N70,512,161,S2021A,object,GAMA,LeathaudGreene,Merian,159.9722076922054,2020B-0288,0.5684891471857226,600.0,1
161,--,N70,512,162,S2021A,object,GAMA,LeathaudGreene,Merian,160.26407484539018,2020B-0288,0.4883510145231792,600.0,1
162,--,N70,512,163,S2021A,object,GAMA,LeathaudGreene,Merian,160.55851207672777,2020B-0288,0.43933586730100727,600.0,1
163,--,N70,512,164,S2021A,object,GAMA,LeathaudGreene,Merian,160.85293088146395,2020B-0288,0.3901779215157528,600.0,1
164,--,N70,512,165,S2021A,object,GAMA,LeathaudGreene,Merian,180.0,2020B-0288,3.173,600.0,1
165,--,N70,512,166,S2021A,object,GAMA,LeathaudGreene,Merian,180.29135018253848,2020B-0288,3.089714021626495,600.0,1
166,--,N70,512,167,S2021A,object,GAMA,LeathaudGreene,Merian,180.58536978152082,2020B-0288,3.0397592160656663,600.0,1
167,--,N70,512,168,S2021A,object,GAMA,LeathaudGreene,Merian,180.87936258724406,2020B-0288,2.9898395331969896,600.0,1
168,--,N70,512,169,S2021A,object,GAMA,LeathaudGreene,Merian,180.0,2020B-0288,0.39099999999999996,600.0,1
169,--,N70,512,170,S2021A,object,GAMA,LeathaudGreene,Merian,180.29161824539977,2020B-0288,0.307714034527359,600.0,1
170,--,N70,512,171,S2021A,object,GAMA,LeathaudGreene,Merian,180.5859332087132,2020B-0288,0.25775927306151963,600.0,1
171,--,N70,512,172,S2021A,object,GAMA,LeathaudGreene,Merian,180.88024630153473,2020B-0288,0.20783967341793344,600.0,1
172,--,N70,512,173,S2021A,object,GAMA,LeathaudGreene,Merian,180.9323510285255,2020B-0288,1.7831324811845823,600.0,1
173,--,N70,512,174,S2021A,object,GAMA,LeathaudGreene,Merian,181.22379404276842,2020B-0288,1.699947268699812,600.0,1
174,--,N70,512,175,S2021A,object,GAMA,LeathaudGreene,Merian,181.5179375422658,2020B-0288,1.6500979753454528,600.0,1
175,--,N70,512,176,S2021A,object,GAMA,LeathaudGreene,Merian,181.81206741342046,2020B-0288,1.6002921673190016,600.0,1
176,--,N70,512,177,S2021A,object,GAMA,LeathaudGreene,Merian,181.8644926306354,2020B-0288,0.3935295462289744,600.0,1
177,--,N70,512,178,S2021A,object,GAMA,LeathaudGreene,Merian,182.15609399201205,2020B-0288,0.3104671032051791,600.0,1
178,--,N70,512,179,S2021A,object,GAMA,LeathaudGreene,Merian,182.45040056577804,2020B-0288,0.26073650940205695,600.0,1
179,--,N70,512,180,S2021A,object,GAMA,LeathaudGreene,Merian,182.74470662969642,2020B-0288,0.21105776023632172,600.0,1
180,--,N70,512,181,S2021A,object,GAMA,LeathaudGreene,Merian,182.79604804709567,2020B-0288,1.7911912662010332,600.0,1
181,--,N70,512,182,S2021A,object,GAMA,LeathaudGreene,Merian,183.0874075480268,2020B-0288,1.708273449363681,600.0,1
182,--,N70,512,183,S2021A,object,GAMA,LeathaudGreene,Merian,183.3815024924337,2020B-0288,1.6586745499399935,600.0,1
183,--,N70,512,184,S2021A,object,GAMA,LeathaudGreene,Merian,183.67558514918537,2020B-0288,1.6091357741184706,600.0,1
184,--,N70,512,185,S2021A,object,GAMA,LeathaudGreene,Merian,183.72698090258334,2020B-0288,0.3991153520216946,600.0,1
185,--,N70,512,186,S2021A,object,GAMA,LeathaudGreene,Merian,184.01856461147145,2020B-0288,0.3163639999320755,600.0,1
186,--,N70,512,187,S2021A,object,GAMA,LeathaudGreene,Merian,184.31286216803403,2020B-0288,0.2669099042930374,600.0,1
187,--,N70,512,188,S2021A,object,GAMA,LeathaudGreene,Merian,184.60716051892643,2020B-0288,0.2175242628143004,600.0,1
188,--,N70,512,189,S2021A,object,GAMA,LeathaudGreene,Merian,184.65673283000166,2020B-0288,1.8053031689680905,600.0,1
189,--,N70,512,190,S2021A,object,GAMA,LeathaudGreene,Merian,184.94800718272913,2020B-0288,1.722739822374865,600.0,1
190,--,N70,512,191,S2021A,object,GAMA,LeathaudGreene,Merian,185.24205234763357,2020B-0288,1.6734432520945433,600.0,1
191,--,N70,512,192,S2021A,object,GAMA,LeathaudGreene,Merian,185.53608649256262,2020B-0288,1.6242233504058645,600.0,1
192,--,N70,512,193,S2021A,object,GAMA,LeathaudGreene,Merian,185.58345878482248,2020B-0288,0.40974553880535425,600.0,1
193,--,N70,512,194,S2021A,object,GAMA,LeathaudGreene,Merian,185.8750232221278,2020B-0288,0.32739128399798906,600.0,1
194,--,N70,512,195,S2021A,object,GAMA,LeathaudGreene,Merian,186.16931051806748,2020B-0288,0.2782647926078221,600.0,1
195,--,N70,512,196,S2021A,object,GAMA,LeathaudGreene,Merian,186.4635998305363,2020B-0288,0.2292232385952861,600.0,1
196,--,N70,512,197,S2021A,object,GAMA,LeathaudGreene,Merian,187.43292405736284,2020B-0288,0.4234049337869805,600.0,1
197,--,N70,512,198,S2021A,object,GAMA,LeathaudGreene,Merian,187.72446750196167,2020B-0288,0.34153223992914317,600.0,1
198,--,N70,512,199,S2021A,object,GAMA,LeathaudGreene,Merian,188.0187433246525,2020B-0288,0.29278339383531476,600.0,1
199,--,N70,512,200,S2021A,object,GAMA,LeathaudGreene,Merian,188.31302231698726,2020B-0288,0.24413581659214387,600.0,1
200,--,N70,512,201,S2021A,object,GAMA,LeathaudGreene,Merian,189.2723740332347,2020B-0288,0.4400695205365673,600.0,1
201,--,N70,512,202,S2021A,object,GAMA,LeathaudGreene,Merian,189.56389441139447,2020B-0288,0.3587603877934821,600.0,1
202,--,N70,512,203,S2021A,object,GAMA,LeathaudGreene,Merian,189.85815733193706,2020B-0288,0.31043751821637505,600.0,1
203,--,N70,512,204,S2021A,object,GAMA,LeathaudGreene,Merian,190.1524245004802,2020B-0288,0.262232054899844,600.0,1
204,--,N70,512,205,S2021A,object,GAMA,LeathaudGreene,Merian,191.10080896928247,2020B-0288,0.4587144922485169,600.0,1
205,--,N70,512,206,S2021A,object,GAMA,LeathaudGreene,Merian,191.3923042289989,2020B-0288,0.378048592314993,600.0,1
206,--,N70,512,207,S2021A,object,GAMA,LeathaudGreene,Merian,191.6865528774924,2020B-0288,0.3301985024536936,600.0,1
207,--,N70,512,208,S2021A,object,GAMA,LeathaudGreene,Merian,191.98080678261357,2020B-0288,0.2824817386480369,600.0,1
