object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J140437.64-005120.79_N708,--,N708,704,77,S2021A,object,GAMA_J140437.64-005120.79_N708,LeathaudGreene,Merian,211.1568638037704,2020B-0288,-0.8557772835558601,600.0,1,False
GAMA_J140547.82-005527.10_N708,--,N708,704,78,S2021A,object,GAMA_J140547.82-005527.10_N708,LeathaudGreene,Merian,211.44925838642212,2020B-0288,-0.924195979171048,600.0,1,False
GAMA_J140658.58-005749.68_N708,--,N708,704,79,S2021A,object,GAMA_J140658.58-005749.68_N708,LeathaudGreene,Merian,211.74411491065635,2020B-0288,-0.9638002171475297,600.0,1,False
GAMA_J140809.35-010011.19_N708,--,N708,704,80,S2021A,object,GAMA_J140809.35-010011.19_N708,LeathaudGreene,Merian,212.0389949753259,2020B-0288,-1.0031084470623017,600.0,1,False
GAMA_J135432.06+004059.99_N708,--,N708,704,81,S2021A,object,GAMA_J135432.06+004059.99_N708,LeathaudGreene,Merian,208.6336116510487,2020B-0288,0.6833321356727866,600.0,1,False
GAMA_J135541.94+003646.34_N708,--,N708,704,82,S2021A,object,GAMA_J135541.94+003646.34_N708,LeathaudGreene,Merian,208.9247572955966,2020B-0288,0.6128744380979766,600.0,1,False
GAMA_J135652.51+003418.98_N708,--,N708,704,83,S2021A,object,GAMA_J135652.51+003418.98_N708,LeathaudGreene,Merian,209.21879957900958,2020B-0288,0.5719409159957631,600.0,1,False
GAMA_J135803.08+003152.62_N708,--,N708,704,84,S2021A,object,GAMA_J135803.08+003152.62_N708,LeathaudGreene,Merian,209.51285345113016,2020B-0288,0.5312841208392594,600.0,1,False
GAMA_J135756.09-005213.86_N708,--,N708,704,85,S2021A,object,GAMA_J135756.09-005213.86_N708,LeathaudGreene,Merian,209.4837388647338,2020B-0288,-0.8705168266688436,600.0,1,False
GAMA_J135906.26-005625.08_N708,--,N708,704,86,S2021A,object,GAMA_J135906.26-005625.08_N708,LeathaudGreene,Merian,209.77611442771317,2020B-0288,-0.9403023034292054,600.0,1,False
GAMA_J140017.03-005850.86_N708,--,N708,704,87,S2021A,object,GAMA_J140017.03-005850.86_N708,LeathaudGreene,Merian,210.07096031323186,2020B-0288,-0.9807961595222489,600.0,1,False
GAMA_J140127.79-010115.62_N708,--,N708,704,88,S2021A,object,GAMA_J140127.79-010115.62_N708,LeathaudGreene,Merian,210.3658296771267,2020B-0288,-1.0210064461797927,600.0,1,False
GAMA_J134745.66+003930.78_N708,--,N708,704,89,S2021A,object,GAMA_J134745.66+003930.78_N708,LeathaudGreene,Merian,206.9402654278993,2020B-0288,0.6585505331495699,600.0,1,False
GAMA_J134855.54+003512.48_N708,--,N708,704,90,S2021A,object,GAMA_J134855.54+003512.48_N708,LeathaudGreene,Merian,207.23145377520711,2020B-0288,0.5868012124263673,600.0,1,False
GAMA_J135006.12+003242.07_N708,--,N708,704,91,S2021A,object,GAMA_J135006.12+003242.07_N708,LeathaudGreene,Merian,207.5255216704686,2020B-0288,0.5450205977842162,600.0,1,False
GAMA_J135116.70+003012.61_N708,--,N708,704,92,S2021A,object,GAMA_J135116.70+003012.61_N708,LeathaudGreene,Merian,207.8196008354701,2020B-0288,0.5035037909796439,600.0,1,False
GAMA_J135111.18-005304.66_N708,--,N708,704,93,S2021A,object,GAMA_J135111.18-005304.66_N708,LeathaudGreene,Merian,207.79659997206454,2020B-0288,-0.8846281828680199,600.0,1,False
GAMA_J135221.34-005720.63_N708,--,N708,704,94,S2021A,object,GAMA_J135221.34-005720.63_N708,LeathaudGreene,Merian,208.08895402357666,2020B-0288,-0.955731632210883,600.0,1,False
GAMA_J135332.10-005949.51_N708,--,N708,704,95,S2021A,object,GAMA_J135332.10-005949.51_N708,LeathaudGreene,Merian,208.38378764173004,2020B-0288,-0.9970875933558754,600.0,1,False
GAMA_J135442.87-010217.42_N708,--,N708,704,96,S2021A,object,GAMA_J135442.87-010217.42_N708,LeathaudGreene,Merian,208.67864459458082,2020B-0288,-1.0381727730739676,600.0,1,False
GAMA_J134055.90+003800.39_N708,--,N708,704,97,S2021A,object,GAMA_J134055.90+003800.39_N708,LeathaudGreene,Merian,205.23291949828524,2020B-0288,0.6334436165766733,600.0,1,False
GAMA_J134205.79+003337.63_N708,--,N708,704,98,S2021A,object,GAMA_J134205.79+003337.63_N708,LeathaudGreene,Merian,205.52414946813587,2020B-0288,0.5604554405089878,600.0,1,False
GAMA_J134316.37+003104.28_N708,--,N708,704,99,S2021A,object,GAMA_J134316.37+003104.28_N708,LeathaudGreene,Merian,205.8182422935547,2020B-0288,0.5178576737992883,600.0,1,False
GAMA_J134426.96+002831.83_N708,--,N708,704,100,S2021A,object,GAMA_J134426.96+002831.83_N708,LeathaudGreene,Merian,206.11234600576233,2020B-0288,0.4755104542244834,600.0,1,False
GAMA_J134423.14-005353.06_N708,--,N708,704,101,S2021A,object,GAMA_J134423.14-005353.06_N708,LeathaudGreene,Merian,206.09644738405714,2020B-0288,-0.898072496537179,600.0,1,False
GAMA_J134533.30-005813.59_N708,--,N708,704,102,S2021A,object,GAMA_J134533.30-005813.59_N708,LeathaudGreene,Merian,206.38877746425493,2020B-0288,-0.970441719130864,600.0,1,False
